id,authors,title,journal,year,volume,issue,pages,doi,pdf_link
1,"Woong Bi Park, Parthasarathi Bandyopadhyay, Thanh Tuan Nguyen, Tapas Kuila, Nam Hoon Kim, Joong Hee Lee",Effect of high molecular weight polyethyleneimine functionalized graphene oxide coated polyethylene terephthalate film on the hydrogen gas barrier properties,Composites Part B: Engineering,2016,106,,316-323,10.1016/j.compositesb.2016.09.048,https://drive.google.com/open?id=1BWYwzgTnvmvQlzF12vC3dLCpEltBnTUq
2,"Tran Duy Thanh, Jayaraman Balamurugan, Nguyen Thanh Tuan, Hun Jeong, Seung Hee Lee, Nam Hoon Kim, Joong Hee Lee",Enhanced electrocatalytic performance of an ultrafine AuPt nanoalloy framework embedded in graphene towards epinephrine sensing,Biosensors and Bioelectronics,2017,89,,750-757,10.1016/j.bios.2016.09.076,https://drive.google.com/open?id=13rGG7T1JY6l2KBzSQE9-7dc2iLh0GD9l
3,"Parthasarathi Bandyopadhyay, Tapas Kuila, Jayaraman Balamurugan, Thanh Tuan Nguyen, Nam Hoon Kim, Joong Hee Lee",Facile synthesis of novel sulfonated polyaniline functionalized graphene using m-aminobenzene sulfonic acid for asymmetric supercapacitor application,Chemical Engineering Journal,2017,308,,1174-1184,10.1016/j.cej.2016.10.015,https://drive.google.com/open?id=1uG5jGDT-9_wlH53ZN_dzOdJu4igqhv_L
4,"Parthasarathi Bandyopadhyay, Thanh Tuan Nguyen, Xuyang Li, Nam Hoon Kim, Joong Hee Lee",Enhanced hydrogen gas barrier performance of diaminoalkane functionalized stitched graphene oxide/polyurethane composites,Composites Part B: Engineering,2017,117,,101-110,10.1016/j.compositesb.2017.02.035,https://drive.google.com/open?id=1dEfqHejUx-M7bVzB9hc8OR1oV3PwAMsg
5,"Thanh Tuan Nguyen, Parthasarathi Bandyopadhyay, Xuyang Li, Nam Hoon Kim, Joong Hee Lee",Effects of grafting methods for functionalization of graphene oxide by dodecylamine on the physical properties of its polyurethane nanocomposites,Journal of Membrane Science,2017,540,,108-119,10.1016/j.memsci.2017.06.040,https://drive.google.com/open?id=1KoXVdU5R-c4bG9dKmr2vuiyLGmXzuSL4
6,"Jayaraman Balamurugan, Shaik Gouse Peera, Meng Guo, Thanh Tuan Nguyen, Nam Hoon Kim, Joong Hee Lee",A hierarchical 2D Ni–Mo–S nanosheet@nitrogen doped graphene hybrid as a Pt-free cathode for high-performance dye sensitized solar cells and fuel cells,Journal of Materials Chemistry A,2017,5,34,17896-17908,10.1039/C7TA04807F,https://drive.google.com/open?id=1Bs59nwXihz6ugJQ0Mc4tkhdDlOlv8Gdv
7,"Parthasarathi Bandyopadhyay, Thanh Tuan Nguyen, Nam Hoon Kim, Joong Hee Lee","Facile synthesis of 4,4′-diaminostilbene-2,2′-disulfonic-acid-grafted reduced graphene oxide and its application as a high-performance asymmetric supercapacitor",Chemical Engineering Journal,2018,333,,170-184,10.1016/j.cej.2017.09.157,https://drive.google.com/open?id=1fx2A5PKyIgBXVlKQRi9oKNSKvb0JnLma
8,"Xuyang Li, Parthasarathi Bandyopadhyay, Thanh Tuan Nguyen, Ok-kyung Park, Joong Hee Lee",Fabrication of functionalized graphene oxide/maleic anhydride grafted polypropylene composite film with excellent gas barrier and anticorrosion properties,Journal of Membrane Science,2018,547,,80-92,10.1016/j.memsci.2017.10.031,https://drive.google.com/open?id=1fkzjEVFXRbvIYF9NiIMu7A7WXxFUAC-t
9,"Thanh Tuan Nguyen, Jayaraman Balamurugan, Nam Hoon Kim, Joong Hee Lee",Hierarchical 3D Zn–Ni–P nanosheet arrays as an advanced electrode for high-performance all-solid-state asymmetric supercapacitors,Journal of Materials Chemistry A,2018,6,18,8669-8681,10.1039/C8TA01184B,https://drive.google.com/open?id=1XwNoOj_w9XMSOVZFBbO9_yMoLdDQTkD4
10,"Jayaraman Balamurugan, Thanh Tuan Nguyen, Vanchiappan Aravindan, Nam Hoon Kim, Joong Hee Lee",Flexible Solid-State Asymmetric Supercapacitors Based on Nitrogen-Doped Graphene Encapsulated Ternary Metal-Nitrides with Ultralong Cycle Life,Advanced Functional Materials,2018,28,44,1804663,10.1002/adfm.201804663,https://drive.google.com/open?id=1um4tAO269luPLXw_9GQJLoX9mmnLdys8
11,"Thanh Tuan Nguyen, Jayaraman Balamurugan, Vanchiappan Aravindan, Nam Hoon Kim, Joong Hee Lee",Boosting the Energy Density of Flexible Solid-State Supercapacitors via Both Ternary NiV2Se4 and NiFe2Se4 Nanosheet Arrays,Chemistry of Materials,2019,31,12,4490-4504,10.1021/acs.chemmater.9b01101,https://drive.google.com/open?id=1XV5WOs7-djhZAzQ9TKACin7Ys6UsHNvr
12,"Jayaraman Balamurugan, Thanh Tuan Nguyen, Vanchiappan Aravindan, Nam Hoon Kim, Seung Hee Lee, Joong Hee Lee",All ternary metal selenide nanostructures for high energy flexible charge storage devices,Nano Energy,2019,65,,103999,10.1016/j.nanoen.2019.103999,https://drive.google.com/file/d/1uC5GwRHclQ3E5niIbbHlTbbFnu-_hBbQ/view?usp=sharing
13,"Thangasamy Deepalakshmi, Thanh Tuan Nguyen, Nam Hoon Kim, Kil To Chong, Joong Hee Lee",Rational design of ultrathin 2D tin nickel selenide nanosheets for high-performance flexible supercapacitors,Journal of Materials Chemistry A,2019,7,,24462-24476,10.1039/C9TA08677C,https://drive.google.com/open?id=1DPr8bzZjGz3YsCWVc8ziEQ_nD4gaXBov
14,"Jayaraman Balamurugan, Thanh Tuan Nguyen, Vanchiappan Aravindan, Nam Hoon Kim, Joong Hee Lee",Highly reversible water splitting cell building from hierarchical 3D nickel manganese oxyphosphide nanosheets,Nano Energy,2020,69,,104432,10.1016/j.nanoen.2019.104432,https://drive.google.com/open?id=1ZTiHgW_Qm4PupmquDSVO5NtveBV8kX06
15,"Ravichandran Balaji, Jayaraman Balamurugan, Thanh Tuan Nguyen, Nam Hoon Kim, Joong Hee Lee",Tunable construction of FexCo3-xSe4 nanostructures as advanced electrode for boosting capacity and energy density,Chemical Engineering Journal,2020,390,,124557,10.1016/j.cej.2020.124557,https://drive.google.com/open?id=1znG8NvV-JhdXSI7FxmorGUI3vXFwiBc2
16,"Thanh Tuan Nguyen, Jayaraman Balamurugan, Do Hwan Kim, Nam Hoon Kim, Joong Hee Lee",Hierarchical 3D Oxygenated Cobalt Vanadium Selenide Nanosheets as Advanced Electrode for Flexible Zinc–Cobalt and Zinc–Air Batteries,Small,2020,16,,2004661,10.1002/smll.202004661,https://drive.google.com/file/d/1WQLZiJ7qboUrnLjkgC2nP1TCA9tfkBro/view?usp=sharing
17,"Jayaraman Balamurugan, Thanh Tuan Nguyen, Do Hwan Kim, Nam Hoon Kim, Joong Hee Lee",3D nickel molybdenum oxyselenide (Ni1-xMoxOSe) nanoarchitectures as advanced multifunctional catalyst for Zn-air batteries and water splitting,Applied Catalysis B: Environmental,2021,286,,119909,10.1016/j.apcatb.2021.119909,https://drive.google.com/file/d/1XZQXhnfptN2CUWPNnJTqLRAeLGUpHeok/view?usp=sharing
